0.888024417784 0.473999963284 [10, 3, 0, 0, 0, 0, 1, 0]
1.66084243065 0.330333312352 [5, 3, 0, 0, 0, 0, 0, 1]
0.659070542978 0.346249945164 [6, 2, 0, 0, 0, 1, 1, 0]
3.77603028751 0.0573999881744 [3, 3, 1, 0, 2, 0, 0, 0]
0.1033373196 0.205200014114 [1, 2, 1, 0, 0, 2, 1, 0]
0.00106511993679 6.94250004196 [1, 1, 2, 1, 0, 0, 1, 0]


3.77603028751 0.0573999881744 [3, 3, 1, 0, 2, 0, 0, 0]
0.1033373196 0.205200014114 [1, 2, 1, 0, 0, 2, 1, 0]
0.00106511993679 6.94250004196 [1, 1, 2, 1, 0, 0, 1, 0]
0.1033373196 0.323500010967 [1, 0, 0, 0, 0, 1, 1, 0]
3.59193981101 0.133200025558 [3, 1, 0, 0, 2, 0, 0, 0]


3.77603028751 0.0573999881744 [3, 3, 1, 0, 2, 0, 0, 0]
0.1033373196 0.205200014114 [1, 2, 1, 0, 0, 2, 1, 0]
0.00106511993679 6.94250004196 [1, 1, 2, 1, 0, 0, 1, 0]
0.1033373196 0.323500010967 [1, 0, 0, 0, 0, 1, 1, 0]
3.59193981101 0.133200025558 [3, 1, 0, 0, 2, 0, 0, 0]
3.8050583455 0.0182499289513 [9, 3, 0, 0, 0, 0, 0, 0]


