<<<<<<< HEAD
489671.636 5733221.37197
496956.254791 5725342.01195
496901.961738 5730787.93052
494017.325623 5733396.24352
497838.219529 5724644.89258
499818.99006 5721063.5733
491451.917676 5732880.33385
493508.474562 5726907.1825
487146.227062 5729909.31134
491099.952566 5729907.59598
500502.133332 5727055.11592
493899.841169 5730974.21709
490124.285261 5729687.9995
498747.318035 5723330.41579
486847.388083 5731204.04808
494687.085303 5726552.50735
488531.976167 5730160.55427
497717.029296 5730053.48697
497461.991015 5730667.30564
491595.151366 5729606.22426
499604.017243 5737218.96011
488094.574558 5733302.47509
494508.795994 5733755.60853
488022.963554 5729846.97457
497121.109448 5720399.97715
499239.987773 5726886.8877
498422.270179 5726937.84767
490632.249515 5726520.40027
486507.679905 5731083.97354
491978.900996 5725404.81308
486188.600121 5731415.4962
490806.514123 5726767.3957
495655.680663 5725661.82818
488155.266573 5732379.86663
498974.269702 5722377.9115
495584.378294 5725964.73035
496854.393624 5729741.61932
497164.878818 5723774.39557
497736.147744 5726025.05954
489810.637606 5732107.34203
488325.999139 5732683.38957
497371.761051 5735849.54573
492162.603112 5728405.99046
499205.488186 5726912.28935
489143.375734 5728177.98476
500984.932759 5723040.67747
501841.916168 5723667.98215
494398.242544 5730563.59063
500801.28665 5727192.03108
500835.177663 5726476.90285
498063.343684 5734847.28659
495598.372844 5731806.47144
496299.178886 5731236.60938
487403.37105 5730482.50029
491624.958341 5731890.32295
498694.880378 5720612.58865
495400.368642 5724798.59018
494000.481139 5726625.65448
501742.32759 5725212.86207
497705.339575 5726211.76535
493831.582029 5729934.56565
493317.24716 5726780.91588
487432.811053 5731085.26642
493090.509725 5732714.35253
488272.326486 5728829.19169
501631.447902 5724184.31416
496028.333605 5726706.07289
501540.737506 5727336.13868
498993.420768 5730637.16465
498160.421461 5727597.31322
498779.153396 5735434.93702
490001.01465 5731919.59805
499877.002608 5727178.38265
500612.816785 5724448.08882
=======
484811.981922 5732424.04831
498647.610301 5735630.25291
491282.395647 5727416.77218
495371.214228 5727426.44496
495662.540722 5729985.62518
492961.813932 5725646.81363
500898.794136 5721899.16055
495797.4476 5726201.50309
489975.838456 5729765.99955
495228.706986 5727238.625
490967.830019 5727366.96141
495248.753117 5726664.88553
493273.019562 5731575.47124
497702.789435 5722387.8693
487690.007873 5729440.37292
488183.791072 5732718.93881
501005.290998 5728834.51663
498543.3427 5736871.07918
494786.831548 5725449.44091
485671.828772 5732622.14023
498960.059542 5725602.78925
500158.668269 5723944.78894
493056.440127 5731120.79194
487014.502684 5732546.78427
497411.404731 5725123.38948
497591.084015 5726193.3236
494443.870826 5725045.81372
491190.52342 5731996.43868
498568.997944 5735403.74805
494179.399716 5727746.2425
490009.618498 5728595.66169
491684.12858 5731010.75369
496876.876902 5720394.02264
498026.372347 5729102.50399
495935.09893 5724557.69385
491078.470195 5727977.91328
495686.424967 5730824.20943
497362.729251 5722226.72421
493627.640018 5730721.5412
494594.222102 5725292.78605
498644.96169 5724752.50733
497465.598433 5728601.71585
489057.096194 5731417.00912
496968.67895 5728817.50668
501557.676835 5724677.24986
494279.168153 5728088.14772
497048.649626 5725237.03434
501653.138675 5729835.87735
499481.428954 5722360.57982
495189.495991 5732222.27728
490868.40016 5733044.63908
502444.686623 5728191.01505
498806.532061 5719788.40948
497527.915027 5726632.3051
489092.886694 5733040.85795
495200.732927 5723292.36559
487836.718587 5730744.105
496493.119752 5734783.97452
493710.534227 5734102.3706
497132.855073 5721854.40772
494951.40739 5734549.35526
496762.348699 5726456.4605
498677.925443 5722047.00602
501255.319766 5724570.84861
495392.711023 5734036.54624
485098.450108 5732561.11966
495710.086669 5734146.1966
500037.157901 5722965.77816
497337.831669 5729767.53374
497086.277671 5731832.71194
493444.566495 5727724.13574
502014.212556 5723785.88635
490525.023428 5731736.69305
492985.67694 5732633.31755
>>>>>>> IEAcasa
