v1.56688878567 0.485520482063 0 [3, 2, 2, 0, 1, 0, 0, 1]
0.404468383104 10.33889958 0 [1, 3, 1, 4, 1, 3, 1, 0]
0.0400340321329 14.9363808451 0 [3, 3, 2, 0, 1, 1, 1, 0]
3.18055887004 0.119905471802 0 [0, 3, 2, 0, 1, 3, 0, 0]
1.65761218235 0.33429145813 0.00963546542201 [0, 3, 2, 0, 3, 1, 0, 1]
0.186476988797 12.6169029818 0 [3, 3, 3, 0, 3, 3, 1, 0]
1.3161794027 1.68266391754 0 [0, 3, 3, 0, 1, 2, 0, 1]
0.91985461314 7.19691550636 0 [0, 3, 3, 5, 0, 3, 1, 0]
0.00322870344838 28.3044639769 0.025356683263 [4, 2, 3, 4, 3, 1, 1, 0]
1.31760397884 0.565055966377 0.0129694025902 [6, 2, 1, 0, 1, 2, 0, 1]
1.57047145415 0.426768541336 0 [0, 3, 2, 0, 1, 3, 0, 1]
2.98909032366 0.171373009682 0 [0, 2, 2, 0, 3, 2, 0, 0]
0.562282496862 9.45605144119 0 [0, 3, 2, 2, 0, 3, 1, 0]
0.601024933102 8.26033365726 0 [0, 3, 1, 0, 3, 3, 1, 0]
3.3440724357 0.0980919599533 0 [1, 2, 2, 0, 3, 3, 0, 0]
1.42973076925 0.487597465515 0 [0, 2, 1, 0, 3, 2, 0, 1]
0.9623744346 4.41123842716 0 [1, 2, 3, 5, 1, 2, 1, 0]
0.972054556081 2.41611284256 0 [3, 3, 2, 1, 0, 2, 1, 1]
